,ICAL (all_custom_options.yml),ICAL (hpso_max_mid_band1_ICal.yml),DPrepD (hpso01_DPrepD.yml),ICAL (hpso01_ICal.yml)
-- Parameters --,,,,
Observation Name,obs_1,max_mid_band1,hpso01,hpso01
Telescope,SKA1_Mid,SKA1_Mid,SKA1_Low,SKA1_Low
Band,Mid1,Mid1,Low,Low
Frequency Min [GHz],0.35,0.35,0.05,0.05
Frequency Max [GHz],1.05,1.05,0.2,0.2
Pipeline,ICAL,ICAL,DPrepD,ICAL
Baseline coalescing,True,True,True,True
On-the-fly kernels,False,False,False,False
Scale predict by facet,True,True,True,True
Max # of channels,65536,65536,32768,32768
Max Baseline [km],150.0,149.0,65.0,65.0
Dump time [s],0.14,0.14,0.9,0.9
Observation Time [s],600,21600,18000,18000
Pointing Time [s],600,21600,7200000,7200000
Total Time [s],2880000.0,21600,18000000,18000000
Snapshot Time [s],600,600,600,600
Facets,17.0,9.0,(undefined),1.0
w-stacking planes,1.000000020101889,12.213726083047726,(undefined),167.45099337096144
w-stacking planes predict,1.000000020101889,12.213726083047726,(undefined),167.45099337096144
Stations/antennas,197,197,512,512
Max Baseline [per bin]0 [km],12.5,14.9,4.0625,4.0625
Max Baseline [per bin]1 [km],25.0,29.8,8.125,8.125
Max Baseline [per bin]2 [km],37.5,44.7,16.25,16.25
Max Baseline [per bin]3 [km],50.0,59.6,32.5,32.5
Max Baseline [per bin]4 [km],62.5,74.5,65.0,65.0
Max Baseline [per bin]5 [km],75.0,89.4,,
Max Baseline [per bin]6 [km],87.5,104.3,,
Max Baseline [per bin]7 [km],100.0,119.2,,
Max Baseline [per bin]8 [km],112.5,134.1,,
Max Baseline [per bin]9 [km],125.0,149.0,,
Max Baseline [per bin]10 [km],137.5,,,
Max Baseline [per bin]11 [km],150.0,,,
Baseline fraction [per bin]0 [%],71.96518315113207,74.42619553391016,46.30065759,46.30065759
Baseline fraction [per bin]1 [%],8.750841925288846,8.388166416247863,13.06774736,13.06774736
Baseline fraction [per bin]2 [%],5.289881353297757,5.429770478213564,14.783606060000002,14.783606060000002
Baseline fraction [per bin]3 [%],4.150044039168955,5.201803015387804,18.58770454,18.58770454
Baseline fraction [per bin]4 [%],3.5749443034039685,3.108647220351277,7.26028445,7.26028445
Baseline fraction [per bin]5 [%],2.859955442723175,0.8237915133930884,,
Baseline fraction [per bin]6 [%],0.5232889487591317,2.419563753173411,,
Baseline fraction [per bin]7 [%],2.616444743795658,0.08289725920936739,,
Baseline fraction [per bin]8 [%],0.12952696751463655,0.08289725920936739,,
Baseline fraction [per bin]9 [%],0.06217294440702554,0.036267550904098236,,
Baseline fraction [per bin]10 [%],0.05181078700585462,,,
Baseline fraction [per bin]11 [%],0.02590539350292731,,,
-- Image --,,,,
Facet FoV size [deg],1.2920086046968542,2.440460697760725,(undefined),42.72857525988047
Total FoV size [deg],18.303455233205437,18.303455233205437,15.825398244400175,42.72857525988047
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined)
PSF size [arcs],1.026706652111203,1.0335973007830903,15.528437284632478,15.528437284632478
Pixel size [arcs],0.20534133042224062,0.20671946015661805,3.1056874569264954,3.1056874569264954
Facet side length [pixels],22651.216719714495,42500.394037805054,(undefined),49529.41114293534
Image side length [pixels],320892.236862622,318752.9552835379,18344.226349235312,49529.41114293534
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined)
Grid side dimension [lambda],1004497.2720443411,997800.6235640455,66415.18475629989,66415.18475629989
Baselines dimension [lambda],602698.3632266046,598680.3741384272,39849.11085377993,39849.11085377993
Epsilon (approx),0.24373333911071637,0.4441757193189375,0.342997170285018,0.6666666666666672
Qbw,6.031181476294671,3.309501028678418,4.285749642711291,2.2049999999999983
Max subband ratio,1.35,1.35,1.35,1.35
Number subbands,4.0,4.0,5.0,5.0
Station/antenna diameter,13.5,13.5,38,38
-- Time Coalescing --,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0
Coalesce time full0 [s],0.42000000000000004,0.7000000000000001,15.3,10.8
Coalesce time full1 [s],0.14,0.28,7.2,5.4
Coalesce time full2 [s],0.14,0.14,3.6,2.7
Coalesce time full3 [s],0.14,0.14,1.8,0.9
Coalesce time full4 [s],0.14,0.14,0.9,0.9
Coalesce time full5 [s],0.14,0.14,,
Coalesce time full6 [s],0.14,0.14,,
Coalesce time full7 [s],0.14,0.14,,
Coalesce time full8 [s],0.14,0.14,,
Coalesce time full9 [s],0.14,0.14,,
Coalesce time full10 [s],0.14,,,
Coalesce time full11 [s],0.14,,,
Coalesce time pred0 [s],6.720000000000001,5.460000000000001,(undefined),10.0
Coalesce time pred1 [s],3.3600000000000003,2.66,,5.4
Coalesce time pred2 [s],2.24,1.8200000000000003,,2.7
Coalesce time pred3 [s],1.6800000000000002,1.2600000000000002,,0.9
Coalesce time pred4 [s],1.2600000000000002,0.9800000000000001,,0.9
Coalesce time pred5 [s],1.12,0.8400000000000001,,
Coalesce time pred6 [s],0.8400000000000001,0.7000000000000001,,
Coalesce time pred7 [s],0.8400000000000001,0.56,,
Coalesce time pred8 [s],0.7000000000000001,0.56,,
Coalesce time pred9 [s],0.56,0.42000000000000004,,
Coalesce time pred10 [s],0.56,,,
Coalesce time pred11 [s],0.56,,,
Coalesce time bw0 [s],6.720000000000001,5.460000000000001,(undefined),10.0
Coalesce time bw1 [s],3.3600000000000003,2.66,,5.4
Coalesce time bw2 [s],2.24,1.8200000000000003,,2.7
Coalesce time bw3 [s],1.6800000000000002,1.2600000000000002,,0.9
Coalesce time bw4 [s],1.2600000000000002,0.9800000000000001,,0.9
Coalesce time bw5 [s],1.12,0.8400000000000001,,
Coalesce time bw6 [s],0.8400000000000001,0.7000000000000001,,
Coalesce time bw7 [s],0.8400000000000001,0.56,,
Coalesce time bw8 [s],0.7000000000000001,0.56,,
Coalesce time bw9 [s],0.56,0.42000000000000004,,
Coalesce time bw10 [s],0.56,,,
Coalesce time bw11 [s],0.56,,,
Combined samples full0,3.0,5.0,17.0,12.0
Combined samples full1,1.0,2.0,8.0,6.0
Combined samples full2,1.0,1.0,4.0,3.0
Combined samples full3,1.0,1.0,2.0,1.0
Combined samples full4,1.0,1.0,1.0,1.0
Combined samples full5,1.0,1.0,,
Combined samples full6,1.0,1.0,,
Combined samples full7,1.0,1.0,,
Combined samples full8,1.0,1.0,,
Combined samples full9,1.0,1.0,,
Combined samples full10,1.0,,,
Combined samples full11,1.0,,,
Combined samples facet0,48.0,39.0,(undefined),12.0
Combined samples facet1,24.0,19.0,,6.0
Combined samples facet2,16.0,13.0,,3.0
Combined samples facet3,12.0,9.0,,1.0
Combined samples facet4,9.0,7.0,,1.0
Combined samples facet5,8.0,6.0,,
Combined samples facet6,6.0,5.0,,
Combined samples facet7,6.0,4.0,,
Combined samples facet8,5.0,4.0,,
Combined samples facet9,4.0,3.0,,
Combined samples facet10,4.0,,,
Combined samples facet11,4.0,,,
Kernel time pred0 [s],10.0,10.0,10.0,10.0
Kernel time pred1 [s],10.0,10.0,10.0,10.0
Kernel time pred2 [s],10.0,10.0,10.0,10.0
Kernel time pred3 [s],10.0,10.0,10.0,10.0
Kernel time pred4 [s],10.0,10.0,10.0,10.0
Kernel time pred5 [s],10.0,10.0,,
Kernel time pred6 [s],10.0,10.0,,
Kernel time pred7 [s],10.0,10.0,,
Kernel time pred8 [s],10.0,10.0,,
Kernel time pred9 [s],10.0,10.0,,
Kernel time pred10 [s],10.0,,,
Kernel time pred11 [s],10.0,,,
Kernel time backward0 [s],10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0
Kernel time backward5 [s],10.0,10.0,,
Kernel time backward6 [s],10.0,10.0,,
Kernel time backward7 [s],10.0,10.0,,
Kernel time backward8 [s],10.0,10.0,,
Kernel time backward9 [s],10.0,10.0,,
Kernel time backward10 [s],10.0,,,
Kernel time backward11 [s],10.0,,,
Visibilities kernel pred0,229.42728413528363,17.372321491829283,(undefined),6.017714258947549
Visibilities kernel pred1,426.14725708001527,71.31068262060417,,22.283145065870304
Visibilities kernel pred2,588.7862632360585,156.3296460209274,,89.12320823268988
Visibilities kernel pred3,722.6941530540656,301.0742028855284,,534.7111318249608
Visibilities kernel pred4,889.5295577086825,483.8643219082185,,1069.3941453400512
Visibilities kernel pred5,927.6275923368273,677.4054467656708,,
Visibilities kernel pred6,1151.691277372081,948.3630215455687,,
Visibilities kernel pred7,1077.205035163662,1354.7993837023691,,
Visibilities kernel pred8,1214.1470629696207,1524.1449904624506,,
Visibilities kernel pred9,1431.0716829661576,2257.987462966487,,
Visibilities kernel pred10,1354.2001531869519,,,
Visibilities kernel pred11,1285.5961620968922,,,
Visibilities kernel bw0,229.42728413528363,17.372321491829283,(undefined),6.017714258947549
Visibilities kernel bw1,426.14725708001527,71.31068262060417,,22.283145065870304
Visibilities kernel bw2,588.7862632360585,156.3296460209274,,89.12320823268988
Visibilities kernel bw3,722.6941530540656,301.0742028855284,,534.7111318249608
Visibilities kernel bw4,889.5295577086825,483.8643219082185,,1069.3941453400512
Visibilities kernel bw5,927.6275923368273,677.4054467656708,,
Visibilities kernel bw6,1151.691277372081,948.3630215455687,,
Visibilities kernel bw7,1077.205035163662,1354.7993837023691,,
Visibilities kernel bw8,1214.1470629696207,1524.1449904624506,,
Visibilities kernel bw9,1431.0716829661576,2257.987462966487,,
Visibilities kernel bw10,1354.2001531869519,,,
Visibilities kernel bw11,1285.5961620968922,,,
Oversampling used pred0,62.27404535539553,15.31857389745285,(undefined),5.786693007965496
Oversampling used pred1,63.922092732839346,43.181188067273034,,18.941566912382555
Oversampling used pred2,63.99398520594083,58.54273355593339,,48.27362898160159
Oversampling used pred3,63.99926992436363,63.44152249431109,,63.98590504991089
Oversampling used pred4,63.99994723940355,63.968607459632246,,63.999996894443576
Oversampling used pred5,63.99997104383358,63.99851023919351,,
Oversampling used pred6,63.99999915028282,63.99997911075898,,
Oversampling used pred7,63.99999725389314,63.99999996531579,,
Oversampling used pred8,63.99999968223009,63.99999999759062,,
Oversampling used pred9,63.99999998956546,63.99999999999998,,
Oversampling used pred10,63.99999996498693,,,
Oversampling used pred11,63.99999989685646,,,
Oversampling used bw0,62.27404535539553,15.31857389745285,(undefined),5.786693007965496
Oversampling used bw1,63.922092732839346,43.181188067273034,,18.941566912382555
Oversampling used bw2,63.99398520594083,58.54273355593339,,48.27362898160159
Oversampling used bw3,63.99926992436363,63.44152249431109,,63.98590504991089
Oversampling used bw4,63.99994723940355,63.968607459632246,,63.999996894443576
Oversampling used bw5,63.99997104383358,63.99851023919351,,
Oversampling used bw6,63.99999915028282,63.99997911075898,,
Oversampling used bw7,63.99999725389314,63.99999996531579,,
Oversampling used bw8,63.99999968223009,63.99999999759062,,
Oversampling used bw9,63.99999998956546,63.99999999999998,,
Oversampling used bw10,63.99999996498693,,,
Oversampling used bw11,63.99999989685646,,,
-- Channelization --,,,,
"Channels predict, no-smear0",2181.003501415639,2694.5007419213202,(undefined),1648.215074483811
"Channels predict, no-smear1",4361.4577658579865,5388.452233690645,,3295.7371475272034
"Channels predict, no-smear2",6541.91201492869,8082.403713013702,,6590.78122076136
"Channels predict, no-smear3",8722.366260162242,10776.355189223254,,13180.869330776477
"Channels predict, no-smear4",10902.82050385563,13470.30666420023,,26361.045532597625
"Channels predict, no-smear5",13083.274746791873,16164.25813857557,,
"Channels predict, no-smear6",15263.72898924562,18858.209612542567,,
"Channels predict, no-smear7",17444.18323147672,21552.161086302018,,
"Channels predict, no-smear8",19624.637473470022,24246.112559897192,,
"Channels predict, no-smear9",21805.091715404385,26940.06403352948,,
"Channels predict, no-smear10",23985.545957221544,,,
"Channels predict, no-smear11",26166.000198901555,,,
"Channels backward, no-smear0",2181.003501415639,2694.5007419213202,(undefined),1648.215074483811
"Channels backward, no-smear1",4361.4577658579865,5388.452233690645,,3295.7371475272034
"Channels backward, no-smear2",6541.91201492869,8082.403713013702,,6590.78122076136
"Channels backward, no-smear3",8722.366260162242,10776.355189223254,,13180.869330776477
"Channels backward, no-smear4",10902.82050385563,13470.30666420023,,26361.045532597625
"Channels backward, no-smear5",13083.274746791873,16164.25813857557,,
"Channels backward, no-smear6",15263.72898924562,18858.209612542567,,
"Channels backward, no-smear7",17444.18323147672,21552.161086302018,,
"Channels backward, no-smear8",19624.637473470022,24246.112559897192,,
"Channels backward, no-smear9",21805.091715404385,26940.06403352948,,
"Channels backward, no-smear10",23985.545957221544,,,
"Channels backward, no-smear11",26166.000198901555,,,
Frequencies predict ifft,65536.0,200.0,32768.0,200.0
Frequencies predict kernels0,425.0750292903429,284.0715932026131,(undefined),273.89387457756607
Frequencies predict kernels1,457.70004571681676,284.0715932026131,,273.89387457756607
Frequencies predict kernels2,496.90600280551996,284.0715932026131,,273.89387457756607
Frequencies predict kernels3,539.7791533897391,284.0715932026131,,273.89387457756607
Frequencies predict kernels4,584.7214177646513,284.0715932026131,,273.89387457756607
Frequencies predict kernels5,630.7950108176473,284.0715932026131,,
Frequencies predict kernels6,677.4302206844076,284.0715932026131,,
Frequencies predict kernels7,724.2729570716685,284.0715932026131,,
Frequencies predict kernels8,771.0998115324657,284.0715932026131,,
Frequencies predict kernels9,817.7687590464254,284.0715932026131,,
Frequencies predict kernels10,864.1896188917003,,,
Frequencies predict kernels11,910.3058555937978,,,
Frequencies predict de-grid0,65536.0,2694.5007419213202,(undefined),1648.215074483811
Frequencies predict de-grid1,65536.0,5388.452233690645,,3295.7371475272034
Frequencies predict de-grid2,65536.0,8082.403713013702,,6590.78122076136
Frequencies predict de-grid3,65536.0,10776.355189223254,,13180.869330776477
Frequencies predict de-grid4,65536.0,13470.30666420023,,26361.045532597625
Frequencies predict de-grid5,65536.0,16164.25813857557,,
Frequencies predict de-grid6,65536.0,18858.209612542567,,
Frequencies predict de-grid7,65536.0,21552.161086302018,,
Frequencies predict de-grid8,65536.0,24246.112559897192,,
Frequencies predict de-grid9,65536.0,26940.06403352948,,
Frequencies predict de-grid10,65536.0,,,
Frequencies predict de-grid11,65536.0,,,
Frequencies total0,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total1,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total2,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total3,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total4,65536.0,65536.0,18976.735944442335,26361.045532597625
Frequencies total5,65536.0,65536.0,,
Frequencies total6,65536.0,65536.0,,
Frequencies total7,65536.0,65536.0,,
Frequencies total8,65536.0,65536.0,,
Frequencies total9,65536.0,65536.0,,
Frequencies total10,65536.0,,,
Frequencies total11,65536.0,,,
Frequencies backward kernels0,425.0750292903429,284.0715932026131,(undefined),273.89387457756607
Frequencies backward kernels1,457.70004571681676,284.0715932026131,,273.89387457756607
Frequencies backward kernels2,496.90600280551996,284.0715932026131,,273.89387457756607
Frequencies backward kernels3,539.7791533897391,284.0715932026131,,273.89387457756607
Frequencies backward kernels4,584.7214177646513,284.0715932026131,,273.89387457756607
