,Ingest (hpso_max_mid_band1_Ingest.yml) [Bmax=35000],RCAL (hpso_max_mid_band1_RCal.yml) [Bmax=35000],FastImg (hpso_max_mid_band1_FastImg.yml) [Bmax=35000],ICAL (hpso_max_mid_band1_ICal.yml) [Bmax=35000],DPrepA (hpso_max_mid_band1_DPrepA.yml) [Bmax=35000],DPrepB (hpso_max_mid_band1_DPrepB.yml) [Bmax=35000],DPrepC (hpso_max_mid_band1_DPrepC.yml) [Bmax=35000],Ingest (hpso_4b_Ingest.yml),RCAL (hpso_4b_RCal.yml),PSS (hpso_4b_PSS.yml),FastImg (hpso_4b_FastImg.yml)
-- Parameters --,,,,,,,,,,,
Observation Name,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,obs_4b,obs_4b,obs_4b,obs_4b
Telescope,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1
Frequency Min [GHz],0.75,0.75,0.75,0.75,0.79,0.75,0.75,0.65,0.65,0.65,0.65
Frequency Max [GHz],0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,PSS,FastImg
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,30000,30000,30000,30000,30000,30000,30000,65536,65536,65536,65536
Max Baseline [km],35.0,35.0,35.0,35.0,35.0,35.0,35.0,150.0,150.0,150.0,150.0
Dump time [s],0.31709777695402713,0.31709777695402713,0.24486624430004938,0.31709777695402713,0.32544388173253863,0.31709777695402713,0.17400163187689816,0.14,0.14,9.375,0.14
Observation Time [s],28800,28800,28800,28800,28800,28800,28800,600,3600,600,1
Pointing Time [s],3600000,3600000,3600000,3600000,3600000,3600000,3600000,600,600,600,600
Total Time [s],18000000,18000000,18000000,18000000,18000000,18000000,18000000,2880000,2880000,2880000,2880000
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1
Facets,(undefined),7.0,1.0,7.0,3.0,3.0,1.0,(undefined),(undefined),(undefined),(undefined)
w-stacking planes,(undefined),2.5571224109176045,1.0000001003654733,2.5571228350634714,1.9706022620543147,1.893046261770651,1.8743096074117083,(undefined),(undefined),(undefined),(undefined)
w-stacking planes predict,(undefined),2.5571224109176045,1.0000001003654733,2.5571228350634714,1.9706022620543147,1.893046261770651,1.8743096074117083,(undefined),(undefined),(undefined),(undefined)
Stations/antennas,100,100,100,100,100,100,100,197,197,197,197
Max Baseline [per bin]0 [km],5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Max Baseline [per bin]1 [km],7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Max Baseline [per bin]2 [km],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Max Baseline [per bin]3 [km],15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Max Baseline [per bin]4 [km],25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Max Baseline [per bin]5 [km],35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Max Baseline [per bin]6 [km],,,,,,,,55.0,55.0,55.0,55.0
Max Baseline [per bin]7 [km],,,,,,,,75.0,75.0,75.0,75.0
Max Baseline [per bin]8 [km],,,,,,,,90.0,90.0,90.0,90.0
Max Baseline [per bin]9 [km],,,,,,,,110.0,110.0,110.0,110.0
Max Baseline [per bin]10 [km],,,,,,,,130.0,130.0,130.0,130.0
Max Baseline [per bin]11 [km],,,,,,,,150.0,150.0,150.0,150.0
Baseline fraction [per bin]0 [%],61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167
Baseline fraction [per bin]1 [%],5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508
Baseline fraction [per bin]2 [%],2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781
Baseline fraction [per bin]3 [%],4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951
Baseline fraction [per bin]4 [%],6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559
Baseline fraction [per bin]5 [%],4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837
Baseline fraction [per bin]6 [%],,,,,,,,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075
Baseline fraction [per bin]7 [%],,,,,,,,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615
Baseline fraction [per bin]8 [%],,,,,,,,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655
Baseline fraction [per bin]9 [%],,,,,,,,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513
Baseline fraction [per bin]10 [%],,,,,,,,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637
Baseline fraction [per bin]11 [%],,,,,,,,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273
-- Image --,,,,,,,,,,,
Facet FoV size [deg],(undefined),1.927971731933916,4.165371025783151,1.927971731933916,1.5774851083642103,1.6661484103132604,4.165371025783151,(undefined),(undefined),(undefined),(undefined)
Total FoV size [deg],4.165371025783151,11.246501769614511,4.165371025783151,11.246501769614511,3.9437127709105257,4.165371025783151,4.165371025783151,4.4192040102378005,11.93185082764206,(undefined),4.4192040102378005
Output FoV size [deg],(undefined),(undefined),(undefined),(undefined),1.6563593637824205,1.7494558308289236,1.7494558308289236,(undefined),(undefined),(undefined),(undefined)
PSF size [arcs],2.809130640941566,2.809130640941566,2.809130640941566,2.809130640941566,2.8014917627771205,2.809130640941566,2.809130640941566,0.7286119653574447,0.7286119653574447,(undefined),0.7286119653574447
Pixel size [arcs],0.5618261281883132,0.5618261281883132,0.9363768803138554,0.5618261281883132,0.5602983525554242,0.5618261281883132,0.5618261281883132,0.14572239307148893,0.14572239307148893,(undefined),0.2428706551191482
Facet side length [pixels],(undefined),12353.818889383712,16014.209671423327,12353.818889383712,10135.575741407167,10676.139780948884,26690.349452372215,(undefined),(undefined),(undefined),(undefined)
Image side length [pixels],26690.34945237221,72063.94352140497,16014.209671423327,72063.94352140497,25338.93935351792,26690.34945237221,26690.34945237221,109174.26005385,294770.502145395,(undefined),65504.55603231001
Output image side length [pixels],(undefined),(undefined),(undefined),(undefined),10642.354528477525,11209.946769996328,11209.946769996328,(undefined),(undefined),(undefined),(undefined)
Grid side dimension [lambda],367132.81191144674,367132.81191144674,220279.68714686803,367132.81191144674,368133.87957747537,367132.81191144674,367132.81191144674,1415464.0333548896,1415464.0333548896,(undefined),849278.4200129339
Baselines dimension [lambda],220279.687146868,220279.687146868,220279.687146868,220279.687146868,220880.32774648524,220279.687146868,220279.687146868,849278.4200129338,849278.4200129338,(undefined),849278.4200129338
