,Ingest (Mid1) [name=max_mid_band1] [Ds=13.5] [Na=100] [Nbeam] [B_dump_ref=150000] [Tint_min=0.14] [freq_min=750000000] [freq_max=950000000] [Tobs=28800] [Tpoint=3600000] [Texp=18000000] [tRCAL_G=10.0] [tICAL_G] [tICAL_B=3600.0] [tICAL_I=10.0] [NIpatches] [Tint_out=1.4],RCAL (Mid1) [name=max_mid_band1] [Ds=13.5] [Na=100] [Nbeam] [B_dump_ref=150000] [Tint_min=0.14] [freq_min=750000000] [freq_max=950000000] [Tobs=28800] [Tpoint=3600000] [Texp=18000000] [tRCAL_G=10.0] [tICAL_G] [tICAL_B=3600.0] [tICAL_I=10.0] [NIpatches] [Tint_out=1.4],FastImg (Mid1) [name=max_mid_band1] [Ds=13.5] [Na=100] [Nbeam] [B_dump_ref=150000] [Tint_min=0.14] [freq_min=750000000] [freq_max=950000000] [Tobs=28800] [Tpoint=3600000] [Texp=18000000] [tRCAL_G=10.0] [tICAL_G] [tICAL_B=3600.0] [tICAL_I=10.0] [NIpatches] [Tint_out=1.4],ICAL (Mid1) [name=max_mid_band1] [Ds=13.5] [Na=100] [Nbeam] [B_dump_ref=150000] [Tint_min=0.14] [freq_min=750000000] [freq_max=950000000] [Tobs=28800] [Tpoint=3600000] [Texp=18000000] [tRCAL_G=10.0] [tICAL_G] [tICAL_B=3600.0] [tICAL_I=10.0] [NIpatches] [Qfov=2.7] [Tint_out=1.4],DPrepA (Mid1) [name=max_mid_band1] [Ds=13.5] [Na=100] [Nbeam] [B_dump_ref=150000] [Tint_min=0.14] [freq_min=790000000] [freq_max=950000000] [Tobs=28800] [Tpoint=3600000] [Texp=18000000] [tRCAL_G=10.0] [tICAL_G] [tICAL_B=3600.0] [tICAL_I=10.0] [NIpatches] [Tint_out=1.4],DPrepB (Mid1) [name=max_mid_band1] [Ds=13.5] [Na=100] [Nbeam] [B_dump_ref=150000] [Tint_min=0.14] [freq_min=750000000] [freq_max=950000000] [Tobs=28800] [Tpoint=3600000] [Texp=18000000] [tRCAL_G=10.0] [tICAL_G] [tICAL_B=3600.0] [tICAL_I=10.0] [NIpatches] [Nf_out=160] [Npp=2] [Tint_out=1.4],DPrepC (Mid1) [name=max_mid_band1] [Ds=13.5] [Na=100] [Nbeam] [B_dump_ref=150000] [Tint_min=0.14] [freq_min=750000000] [freq_max=950000000] [Tobs=28800] [Tpoint=3600000] [Texp=18000000] [tRCAL_G=10.0] [tICAL_G] [tICAL_B=3600.0] [tICAL_I=10.0] [NIpatches] [Nf_out=24000] [Npp=2] [Tint_out=1.4]
-- Parameters --,,,,,,,
Configuration Name,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1
Telescope,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1
Frequency Min [GHz],0.75,0.75,0.75,0.75,0.79,0.75,0.75
Frequency Max [GHz],0.95,0.95,0.95,0.95,0.95,0.95,0.95
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC
Baseline coalescing,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536
Max Baseline [km],150.0,150.0,150.0,150.0,150.0,150.0,150.0
Dump time [s],0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],28800,28800,28800,28800,28800,28800,28800
Pointing Time [s],3600000,3600000,3600000,3600000,3600000,3600000,3600000
Total Time [s],18000000,18000000,18000000,18000000,18000000,18000000,18000000
Snapshot Time [s],600,600,1.0,600,600,600,600
Facets,(undefined),10.0,1.0,10.0,5.0,5.0,4.0
w-stacking planes,(undefined),1.0000000299529934,1.000000021585008,1.0000000299529934,1.0000000230657315,1.0000000263239488,1.0000000223983296
w-stacking planes predict,(undefined),1.0000000299529934,1.000000021585008,1.0000000299529934,1.0000000230657315,1.0000000263239488,1.0000000223983296
Stations/antennas,100,100,100,100,100,100,100
Max Baseline [per bin]0 [km],5.0,5.0,5.0,5.0,5.0,5.0,5.0
Max Baseline [per bin]1 [km],7.5,7.5,7.5,7.5,7.5,7.5,7.5
Max Baseline [per bin]2 [km],10.0,10.0,10.0,10.0,10.0,10.0,10.0
Max Baseline [per bin]3 [km],15.0,15.0,15.0,15.0,15.0,15.0,15.0
Max Baseline [per bin]4 [km],25.0,25.0,25.0,25.0,25.0,25.0,25.0
Max Baseline [per bin]5 [km],35.0,35.0,35.0,35.0,35.0,35.0,35.0
Max Baseline [per bin]6 [km],55.0,55.0,55.0,55.0,55.0,55.0,55.0
Max Baseline [per bin]7 [km],75.0,75.0,75.0,75.0,75.0,75.0,75.0
Max Baseline [per bin]8 [km],90.0,90.0,90.0,90.0,90.0,90.0,90.0
Max Baseline [per bin]9 [km],110.0,110.0,110.0,110.0,110.0,110.0,110.0
Max Baseline [per bin]10 [km],130.0,130.0,130.0,130.0,130.0,130.0,130.0
